,TimeISO,01'HZ00'V100_Aussentemp.,01'Rl02'M101_Sollwert_Raumtemp.Aula_Tableau,01'H200'M800_Aula_RT.-unten,01'H200'M801_Aula_RT.-oben
1/1/2016 00:00,2016-01-01T00:00:00,4.912777778,22.23,27.32,18.15222222
1/1/2016 01:00,2016-01-01T01:00:00,5.1175,22.23,27.31333333,18.10416667
1/1/2016 02:00,2016-01-01T02:00:00,5.118333333,22.23,27.30333333,18.09916667
1/1/2016 03:00,2016-01-01T03:00:00,5.250833333,22.23,27.30166667,18.145
1/1/2016 04:00,2016-01-01T04:00:00,5.285,22.23,27.30666667,18.1225
1/1/2016 05:00,2016-01-01T05:00:00,5.4625,22.23,27.3,18.03083333
1/1/2016 06:00,2016-01-01T06:00:00,5.243333333,22.23,27.3,18.05416667
1/1/2016 07:00,2016-01-01T07:00:00,5.275,22.23,27.31333333,18.15833333
1/1/2016 08:00,2016-01-01T08:00:00,5.098333333,22.23,27.33,18.33416667
1/1/2016 09:00,2016-01-01T09:00:00,5.240833333,22.23,27.35,18.6075
1/1/2016 10:00,2016-01-01T10:00:00,4.576666667,22.23,27.3625,18.72666667
1/1/2016 11:00,2016-01-01T11:00:00,5.383333333,22.23,27.38,18.74666667
1/1/2016 12:00,2016-01-01T12:00:00,5.8475,22.23,27.38,18.75916667
1/1/2016 13:00,2016-01-01T13:00:00,5.903333333,22.23,27.39333333,18.78416667
1/1/2016 14:00,2016-01-01T14:00:00,5.581666667,22.23,27.4,18.73416667
1/1/2016 15:00,2016-01-01T15:00:00,5.675833333,22.23,27.4,18.8475
1/1/2016 16:00,2016-01-01T16:00:00,5.5575,22.23,27.405,18.8075
1/1/2016 17:00,2016-01-01T17:00:00,5.150833333,22.23,27.425,18.795
1/1/2016 18:00,2016-01-01T18:00:00,5.126666667,22.23,27.4225,18.7975
1/1/2016 19:00,2016-01-01T19:00:00,4.608333333,22.23,27.4225,18.76583333
1/1/2016 20:00,2016-01-01T20:00:00,3.844166667,22.23,27.41,18.72666667
1/1/2016 21:00,2016-01-01T21:00:00,4.931666667,22.23,27.4,18.71
1/1/2016 22:00,2016-01-01T22:00:00,5.418333333,22.23,27.39833333,18.51583333
1/1/2016 23:00,2016-01-01T23:00:00,5.293333333,22.23,27.38833333,18.565
2/1/2016 00:00,2016-01-02T00:00:00,5.2825,22.23,27.38,18.53166667
2/1/2016 01:00,2016-01-02T01:00:00,5.4775,22.23,27.3775,18.45166667
2/1/2016 02:00,2016-01-02T02:00:00,5.474166667,22.23,27.36,18.465
2/1/2016 03:00,2016-01-02T03:00:00,5.324166667,22.23,27.355,18.3725
2/1/2016 04:00,2016-01-02T04:00:00,5.165833333,22.23,27.3525,18.35833333
2/1/2016 05:00,2016-01-02T05:00:00,5.025,22.23,27.35,18.38166667
2/1/2016 06:00,2016-01-02T06:00:00,5.548333333,22.23,27.3475,18.32
2/1/2016 07:00,2016-01-02T07:00:00,5.600833333,22.23,27.32,18.21416667
2/1/2016 08:00,2016-01-02T08:00:00,5.285,22.23,27.30333333,18.2325
2/1/2016 09:00,2016-01-02T09:00:00,5.005833333,22.23,27.30166667,18.25916667
2/1/2016 10:00,2016-01-02T10:00:00,5.5225,22.23,27.295,18.20333333
2/1/2016 11:00,2016-01-02T11:00:00,5.645833333,22.23,27.29166667,18.2225
2/1/2016 12:00,2016-01-02T12:00:00,6.3825,22.23,27.29333333,18.24916667
2/1/2016 13:00,2016-01-02T13:00:00,7.018333333,22.23,27.265,18.12166667
2/1/2016 14:00,2016-01-02T14:00:00,7.0975,22.23,27.25,18.13333333
2/1/2016 15:00,2016-01-02T15:00:00,7.341666667,22.2375,27.24666667,18.11416667
2/1/2016 16:00,2016-01-02T16:00:00,6.481666667,22.23833333,27.245,18.1125
2/1/2016 17:00,2016-01-02T17:00:00,6.3725,22.2375,27.24666667,18.09416667
2/1/2016 18:00,2016-01-02T18:00:00,6.434166667,22.23166667,27.24666667,18.13916667
2/1/2016 19:00,2016-01-02T19:00:00,6.136666667,22.23,27.255,18.29083333
2/1/2016 20:00,2016-01-02T20:00:00,6.089166667,22.23,27.2575,18.35916667
2/1/2016 21:00,2016-01-02T21:00:00,6.451666667,22.23,27.265,18.37583333
2/1/2016 22:00,2016-01-02T22:00:00,6.440833333,22.23,27.2525,18.375
2/1/2016 23:00,2016-01-02T23:00:00,6.114166667,22.23,27.2675,18.47416667
3/1/2016 00:00,2016-01-03T00:00:00,5.75,22.23,27.2725,18.45333333
3/1/2016 01:00,2016-01-03T01:00:00,5.8175,22.23,27.26,18.4725
3/1/2016 02:00,2016-01-03T02:00:00,5.786666667,22.23,27.255,18.41083333
3/1/2016 03:00,2016-01-03T03:00:00,5.420833333,22.23,27.265,18.49333333
3/1/2016 04:00,2016-01-03T04:00:00,5.4575,22.23,27.25,18.53333333
3/1/2016 05:00,2016-01-03T05:00:00,6.07,22.23,27.25,18.54583333
3/1/2016 06:00,2016-01-03T06:00:00,6.2625,22.23,27.24833333,18.60416667
3/1/2016 07:00,2016-01-03T07:00:00,6.301666667,22.23,27.24833333,18.67583333
3/1/2016 08:00,2016-01-03T08:00:00,6.395,22.23,27.25,18.675
3/1/2016 09:00,2016-01-03T09:00:00,6.584166667,22.23,27.25,18.70666667
3/1/2016 10:00,2016-01-03T10:00:00,6.8875,22.23,27.24666667,18.69666667
3/1/2016 11:00,2016-01-03T11:00:00,7.620833333,22.23,27.24833333,18.55666667
3/1/2016 12:00,2016-01-03T12:00:00,8.408333333,22.23,27.24833333,18.39583333
3/1/2016 13:00,2016-01-03T13:00:00,8.873333333,22.23,27.2525,18.34833333
3/1/2016 14:00,2016-01-03T14:00:00,9.274166667,22.23,27.2525,18.28666667
3/1/2016 15:00,2016-01-03T15:00:00,8.6975,22.23,27.25,18.2925
3/1/2016 16:00,2016-01-03T16:00:00,7.655,22.23,27.25,18.275
3/1/2016 17:00,2016-01-03T17:00:00,6.699166667,22.23083333,27.245,18.29416667
3/1/2016 18:00,2016-01-03T18:00:00,6.165833333,22.23166667,27.24666667,18.44083333
3/1/2016 19:00,2016-01-03T19:00:00,5.925,22.23166667,27.24,18.53416667
3/1/2016 20:00,2016-01-03T20:00:00,5.749166667,22.23333333,27.23,18.46083333
3/1/2016 21:00,2016-01-03T21:00:00,5.3275,22.23416667,27.23,18.57166667
3/1/2016 22:00,2016-01-03T22:00:00,5.359166667,22.23416667,27.23,18.54916667
3/1/2016 23:00,2016-01-03T23:00:00,5.368333333,22.23666667,27.225,18.51833333
4/1/2016 00:00,2016-01-04T00:00:00,5.305,22.23583333,27.21,18.53666667
4/1/2016 01:00,2016-01-04T01:00:00,5.199166667,22.23583333,27.2025,18.57583333
4/1/2016 02:00,2016-01-04T02:00:00,5.18,22.23916667,27.2025,18.52083333
4/1/2016 03:00,2016-01-04T03:00:00,4.9975,22.23916667,27.205,18.48416667
4/1/2016 04:00,2016-01-04T04:00:00,4.790833333,22.24,27.21,18.335
4/1/2016 05:00,2016-01-04T05:00:00,4.830833333,22.23916667,27.2,18.29166667
4/1/2016 06:00,2016-01-04T06:00:00,4.91,22.23666667,27.2,18.34583333
4/1/2016 07:00,2016-01-04T07:00:00,4.868333333,22.23333333,27.2275,18.4875
4/1/2016 08:00,2016-01-04T08:00:00,4.668333333,22.23,27.23333333,18.52916667
4/1/2016 09:00,2016-01-04T09:00:00,4.7425,22.23,27.245,18.53
4/1/2016 10:00,2016-01-04T10:00:00,5.155833333,22.23,27.24666667,18.475
4/1/2016 11:00,2016-01-04T11:00:00,5.8825,22.23,27.24833333,18.44833333
4/1/2016 12:00,2016-01-04T12:00:00,7.4125,22.23,27.265,18.42666667
4/1/2016 13:00,2016-01-04T13:00:00,7.919166667,22.23,27.28,18.38333333
4/1/2016 14:00,2016-01-04T14:00:00,8.213333333,22.23083333,27.275,18.42083333
4/1/2016 15:00,2016-01-04T15:00:00,8.206666667,22.23,27.265,18.36583333
4/1/2016 16:00,2016-01-04T16:00:00,7.7375,22.23,27.28,18.58583333
4/1/2016 17:00,2016-01-04T17:00:00,7.071666667,22.23083333,27.27,18.53916667
4/1/2016 18:00,2016-01-04T18:00:00,6.425833333,22.23166667,27.2625,18.53583333
4/1/2016 19:00,2016-01-04T19:00:00,5.558333333,22.23,27.24666667,18.35083333
4/1/2016 20:00,2016-01-04T20:00:00,4.889166667,22.23,27.22,18.25666667
4/1/2016 21:00,2016-01-04T21:00:00,4.251666667,22.23,27.18833333,18.2725
4/1/2016 22:00,2016-01-04T22:00:00,4.176666667,22.23,27.17,18.18333333
4/1/2016 23:00,2016-01-04T23:00:00,4.448333333,22.23,27.145,18.15916667
